split,regime,policy,budget_pp,cal_coverage,cal_net_lcb_pp,test_steps_deleted,test_net_per_deletion_pp,test_harmed_share_obs,test_harmed_share_null_floor,test_harmed_share_excess,test_harmed_share_severe,test_severe_null_floor,test_severe_excess
2,natural_prevalence,intersection_first,3,0.645,-0.29,187,-3.87,0.193,0.117,0.076,0.170,0.039,0.131
2,natural_prevalence,intersection_first,5,1.000,-4.01,290,-2.36,0.197,0.111,0.086,0.115,0.036,0.079
2,natural_prevalence,prm:llama31_8b_prm_deepseek,1,0.032,-0.18,9,14.76,0.069,0.256,0.000,0.069,0.052,0.017
2,natural_prevalence,prm:llama31_8b_prm_deepseek,3,0.677,-2.36,196,2.02,0.153,0.108,0.046,0.088,0.037,0.051
2,natural_prevalence,prm:llama31_8b_prm_deepseek,5,1.000,-4.01,290,-2.36,0.197,0.111,0.086,0.115,0.036,0.079
2,natural_prevalence,prm:math_shepherd_mistral_7b,1,0.323,0.61,94,7.52,0.137,0.152,0.000,0.030,0.045,0.000
2,natural_prevalence,prm:math_shepherd_mistral_7b,3,0.355,-2.62,103,6.44,0.126,0.137,0.000,0.031,0.040,0.000
2,natural_prevalence,prm:math_shepherd_mistral_7b,5,1.000,-4.01,290,-2.36,0.197,0.111,0.086,0.115,0.036,0.079
2,natural_prevalence,prm:qwen25_math_prm_7b,1,0.387,7.03,112,-9.61,0.199,0.075,0.124,0.113,0.028,0.085
2,natural_prevalence,prm:qwen25_math_prm_7b,3,0.387,7.03,112,-9.61,0.199,0.075,0.124,0.113,0.028,0.085
2,natural_prevalence,prm:qwen25_math_prm_7b,5,1.000,-4.01,290,-2.36,0.197,0.111,0.086,0.115,0.036,0.079
2,natural_prevalence,predictor_D,1,0.806,0.35,234,-10.19,0.250,0.114,0.136,0.166,0.036,0.130
2,natural_prevalence,predictor_D,3,0.903,-1.40,262,-8.19,0.223,0.099,0.123,0.139,0.031,0.108
2,natural_prevalence,predictor_D,5,1.000,-4.01,290,-2.36,0.197,0.111,0.086,0.115,0.036,0.079
2,natural_prevalence,predictor_E,1,0.871,0.73,253,-1.09,0.220,0.128,0.092,0.121,0.041,0.080
2,natural_prevalence,predictor_E,3,0.935,-1.32,271,-2.36,0.215,0.122,0.092,0.124,0.039,0.085
2,natural_prevalence,predictor_E,5,1.000,-4.01,290,-2.36,0.197,0.111,0.086,0.115,0.036,0.079
3,balanced_cohort,random,1,0.979,4.27,267,6.27,0.139,0.122,0.017,0.109,0.041,0.068
3,balanced_cohort,random,3,0.979,4.27,267,6.27,0.139,0.122,0.017,0.109,0.041,0.068
3,balanced_cohort,random,5,0.979,4.27,267,6.27,0.139,0.122,0.017,0.109,0.041,0.068
3,balanced_cohort,rating_first,1,0.979,4.13,267,6.65,0.135,0.122,0.013,0.105,0.041,0.064
3,balanced_cohort,rating_first,3,0.979,4.13,267,6.65,0.135,0.122,0.013,0.105,0.041,0.064
3,balanced_cohort,rating_first,5,0.979,4.13,267,6.65,0.135,0.122,0.013,0.105,0.041,0.064
3,balanced_cohort,harmful_first,1,0.979,4.12,267,6.46,0.139,0.122,0.017,0.105,0.041,0.064
3,balanced_cohort,harmful_first,3,0.979,4.12,267,6.46,0.139,0.122,0.017,0.105,0.041,0.064
3,balanced_cohort,harmful_first,5,0.979,4.12,267,6.46,0.139,0.122,0.017,0.105,0.041,0.064
3,balanced_cohort,intersection_first,1,0.979,4.13,267,6.65,0.135,0.122,0.013,0.105,0.041,0.064
3,balanced_cohort,intersection_first,3,0.979,4.13,267,6.65,0.135,0.122,0.013,0.105,0.041,0.064
3,balanced_cohort,intersection_first,5,0.979,4.13,267,6.65,0.135,0.122,0.013,0.105,0.041,0.064
3,balanced_cohort,prm:llama31_8b_prm_deepseek,1,0.979,4.05,267,6.18,0.142,0.123,0.019,0.109,0.041,0.068
3,balanced_cohort,prm:llama31_8b_prm_deepseek,3,0.979,4.05,267,6.18,0.142,0.123,0.019,0.109,0.041,0.068
3,balanced_cohort,prm:llama31_8b_prm_deepseek,5,0.979,4.05,267,6.18,0.142,0.123,0.019,0.109,0.041,0.068
3,balanced_cohort,prm:math_shepherd_mistral_7b,1,0.979,3.85,267,6.37,0.139,0.122,0.017,0.105,0.041,0.064
3,balanced_cohort,prm:math_shepherd_mistral_7b,3,0.979,3.85,267,6.37,0.139,0.122,0.017,0.105,0.041,0.064
3,balanced_cohort,prm:math_shepherd_mistral_7b,5,0.979,3.85,267,6.37,0.139,0.122,0.017,0.105,0.041,0.064
3,balanced_cohort,prm:qwen25_math_prm_7b,1,0.979,4.06,267,6.27,0.142,0.123,0.019,0.109,0.041,0.067
3,balanced_cohort,prm:qwen25_math_prm_7b,3,0.979,4.06,267,6.27,0.142,0.123,0.019,0.109,0.041,0.067
3,balanced_cohort,prm:qwen25_math_prm_7b,5,0.979,4.06,267,6.27,0.142,0.123,0.019,0.109,0.041,0.067
3,balanced_cohort,predictor_D,1,0.979,3.88,267,6.46,0.139,0.123,0.015,0.109,0.041,0.067
3,balanced_cohort,predictor_D,3,0.979,3.88,267,6.46,0.139,0.123,0.015,0.109,0.041,0.067
3,balanced_cohort,predictor_D,5,0.979,3.88,267,6.46,0.139,0.123,0.015,0.109,0.041,0.067
3,balanced_cohort,predictor_E,1,0.979,4.04,267,6.74,0.139,0.123,0.016,0.105,0.041,0.064
3,balanced_cohort,predictor_E,3,0.979,4.04,267,6.74,0.139,0.123,0.016,0.105,0.041,0.064
3,balanced_cohort,predictor_E,5,0.979,4.04,267,6.74,0.139,0.123,0.016,0.105,0.041,0.064
3,natural_prevalence,random,1,0.000,,0,,,,,,,
3,natural_prevalence,random,3,0.000,,0,,,,,,,
3,natural_prevalence,random,5,0.000,,0,,,,,,,
3,natural_prevalence,rating_first,1,0.336,9.61,92,13.04,0.098,0.121,0.000,0.054,0.042,0.013
3,natural_prevalence,rating_first,3,0.673,-2.03,184,0.11,0.179,0.120,0.060,0.156,0.041,0.115
3,natural_prevalence,rating_first,5,0.673,-2.03,184,0.11,0.179,0.120,0.060,0.156,0.041,0.115
3,natural_prevalence,harmful_first,1,0.122,0.35,33,-8.30,0.178,0.063,0.115,0.176,0.020,0.157
3,natural_prevalence,harmful_first,3,0.183,-2.32,50,15.48,0.093,0.170,0.000,0.092,0.052,0.040
3,natural_prevalence,harmful_first,5,0.214,-3.31,58,16.78,0.116,0.178,0.000,0.086,0.054,0.032
3,natural_prevalence,intersection_first,1,0.336,9.61,92,15.22,0.087,0.125,0.000,0.043,0.043,0.000
3,natural_prevalence,intersection_first,3,0.673,-2.03,184,0.11,0.179,0.120,0.060,0.156,0.041,0.115
3,natural_prevalence,intersection_first,5,0.673,-2.03,184,0.11,0.179,0.120,0.060,0.156,0.041,0.115
3,natural_prevalence,prm:llama31_8b_prm_deepseek,1,0.367,-0.52,100,-5.18,0.276,0.142,0.135,0.208,0.047,0.161
3,natural_prevalence,prm:llama31_8b_prm_deepseek,3,0.612,-2.21,167,8.29,0.188,0.154,0.034,0.121,0.051,0.069
